audience_percent,critic_percent,title,audience_number,critic_number,release_year,genre,runtime,differential,bubble_width
80,71,The Curious Case of Benjamin Button,250000,258,2008.0,Romance/Drama,2:47,-9,32.15602193394618
86,89,Zombieland,250000,257,2009.0,Comedy/Horror,1:27,3,32.07806788174952
81,77,Harry Potter and the Order of the Phoenix,250000,257,2007.0,Adventure/Fantasy,2:18,-4,32.07806788174952
79,70,Les Misérables,250000,256,2012.0,Drama/Musical,2:38,-9,32.0
57,20,Transformers: Revenge of the Fallen,250000,252,2009.0,Adventure/Sci fi,2:29,-37,31.686577854669387
70,82,Tropic Thunder,250000,252,2008.0,Comedy/Action,1:47,12,31.686577854669387
75,78,Brave,250000,251,2012.0,Adventure/Animation,1:33,3,31.60793153235044
70,68,Men in Black 3,250000,251,2012.0,Sci fi/Action,1:44,-2,31.60793153235044
76,93,Mission: Impossible -- Ghost Protocol,250000,251,2011.0,Action/Adventure,2:13,17,31.60793153235044
87,96,Ratatouille,250000,251,2007.0,Kids and family/Comedy,1:51,9,31.60793153235044
85,74,The Hobbit: The Desolation of Smaug,250000,250,2013.0,Fantasy/Adventure,2:40,-11,31.529167622359036
85,90,Frozen,250000,250,2013.0,Comedy/Fantasy,1:42,5,31.529167622359036
71,86,Hellboy II: The Golden Army,250000,250,2008.0,Sci fi/Action,2:00,15,31.529167622359036
77,69,Sherlock Holmes,250000,248,2009.0,Action/Adventure,2:08,-8,31.371284444297096
52,32,The Lovely Bones,250000,247,2009.0,Mystery and thriller/Drama,2:16,-20,31.292163863166575
47,39,2012,250000,247,2009.0,Drama/Mystery and thriller,2:38,-8,31.292163863166575
60,48,The Twilight Saga: Eclipse,250000,247,2010.0,Romance/Fantasy,2:04,-12,31.292163863166575
86,91,There Will Be Blood,250000,243,2007.0,Drama,2:38,5,30.97447264187668
84,78,The Hangover,250000,240,2009.0,Comedy,1:39,-6,30.734915685705186
52,49,Snow White and the Huntsman,250000,238,2012.0,Action/Adventure,2:07,-3,30.574586918379627
48,69,Funny People,250000,238,2009.0,Comedy/Drama,2:26,21,30.574586918379627
90,81,Gran Torino,250000,237,2008.0,Drama,1:57,-9,30.494233135441753
70,67,The Incredible Hulk,250000,237,2008.0,Sci fi/Action,1:52,-3,30.494233135441753
84,85,(500) Days of Summer,250000,233,2009.0,Comedy/Romance,1:35,1,30.17153811508654
44,79,The Informant!,250000,233,2009.0,Drama/Crime,1:48,35,30.17153811508654
52,51,The Taking of Pelham 123,250000,232,2009.0,Drama/Crime,1:46,-1,30.090540621339713
58,55,The Bourne Legacy,250000,232,2012.0,Action/Mystery and thriller,2:15,-3,30.090540621339713
81,86,Sweeney Todd: The Demon Barber of Fleet Street,250000,231,2007.0,Drama/Crime,1:57,5,30.00941209857022
41,67,Brüno,250000,230,2009.0,Gay and lesbian/Comedy,1:22,26,29.928151766205126
61,28,The Twilight Saga: New Moon,250000,230,2009.0,Romance/Fantasy,2:10,-33,29.928151766205126
58,37,Prince of Persia: The Sands of Time,250000,229,2010.0,Adventure/Fantasy,1:56,-21,29.846758835604586
72,44,Pirates of the Caribbean: At World's End,250000,228,2007.0,Action/Adventure,2:48,-28,29.76523250994286
59,41,Hancock,250000,227,2008.0,Comedy/Action,1:32,-18,29.683571984087028
70,77,Julie & Julia,250000,227,2009.0,Comedy/Drama,2:04,7,29.683571984087028
82,85,21 Jump Street,250000,226,2012.0,Comedy/Action,1:50,3,29.601776444473394
54,34,Battleship,250000,225,2012.0,Sci fi/Action,2:11,-20,29.519845068981457
67,51,Get Smart,250000,223,2008.0,Comedy/Action,1:51,-16,29.355571478323455
65,55,Australia,250000,223,2008.0,Western/Drama,2:45,-10,29.355571478323455
86,89,3:10 to Yuma,250000,223,2007.0,Western/Drama,2:00,3,29.355571478323455
77,87,The Simpsons Movie,250000,222,2007.0,Comedy/Animation,1:26,10,29.273227574963673
73,49,Twilight,250000,222,2008.0,Romance/Fantasy,2:01,-24,29.273227574963673
73,69,Ted,250000,221,2012.0,Comedy/Fantasy,1:46,-4,29.190744459068426
84,91,Hairspray,250000,221,2007.0,Comedy/Musical,1:55,7,29.190744459068426
43,16,Sex and the City 2,250000,219,2010.0,Romance,2:27,-27,29.025357112775033
61,89,Adventureland,250000,219,2009.0,Comedy/Romance,1:46,28,29.025357112775033
87,91,Sicko,250000,219,2007.0,Documentary,1:53,4,29.025357112775033
59,73,Monsters vs. Aliens,250000,218,2009.0,Sci fi/Comedy,1:34,14,28.942451120368005
49,55,Edge of Darkness,250000,217,2010.0,Drama/Crime,1:57,6,28.8594023911159
60,41,Speed Racer,250000,217,2008.0,Action/Adventure,2:15,-19,28.8594023911159
87,81,American Gangster,250000,216,2007.0,Drama/Biography,2:37,-6,28.776210019791854
88,94,Juno,250000,216,2007.0,Comedy/Drama,1:36,6,28.776210019791854
68,68,I Am Legend,250000,215,2007.0,Sci fi/Drama,1:41,0,28.69287309120695
37,51,Observe and Report,250000,214,2009.0,Comedy,1:26,14,28.609390680053693
52,42,Shrek the Third,250000,214,2007.0,Kids and family/Comedy,1:33,-10,28.609390680053693
68,78,Cloverfield,250000,212,2008.0,Sci fi/Mystery and thriller,1:25,10,28.441985657257728
91,99,How to Train Your Dragon,250000,212,2010.0,Kids and family/Comedy,1:38,8,28.441985657257728
67,66,The Karate Kid,250000,211,2010.0,Drama/Sports and fitness,2:20,-1,28.358061142953193
86,82,Live Free or Die Hard,250000,210,2007.0,Action/Mystery and thriller,2:09,-4,28.273987340420472
64,42,The Expendables,250000,209,2010.0,Action/Adventure,1:43,-22,28.18976327129646
84,70,Fast & Furious 6,250000,209,2013.0,Action,2:10,-14,28.18976327129646
74,83,"I Love You, Man",250000,209,2009.0,Comedy,1:45,9,28.18976327129646
87,88,Superbad,250000,209,2007.0,Comedy,1:53,1,28.18976327129646
69,71,Wanted,250000,209,2008.0,Action/Mystery and thriller,1:50,2,28.18976327129646
35,45,Jennifer's Body,250000,208,2009.0,Comedy/Horror,1:41,10,28.10538794609019
56,57,The Soloist,250000,207,2009.0,Drama/Biography,1:57,1,28.02086036400211
62,70,Paul,250000,207,2011.0,Comedy/Sci fi,1:44,8,28.02086036400211
64,46,The Book of Eli,250000,207,2010.0,Action/Adventure,1:52,-18,28.02086036400211
85,66,The Blind Side,250000,206,2009.0,Biography/Drama,2:08,-19,27.93617951273954
57,83,Paranormal Activity,250000,205,2007.0,Horror/Mystery and thriller,1:26,26,27.85134436832817
73,68,Pineapple Express,250000,205,2008.0,Comedy/Action,1:52,-5,27.85134436832817
69,55,Step Brothers,250000,205,2008.0,Comedy,1:35,-14,27.85134436832817
